Longitude;Latitude;DEPART;Predicted Geothermal Gradient (C/Km)
-73.28543399;-1.594428211;AMAZONAS;35.88822
-74.1026892;7.742524905;BOLIVAR;31.32136
-74.61699564;5.457311665;CALDAS;29.219141
-73.70069965;7.765928945;SANTANDER;30.612425
-71.44354981;6.882149229;ARAUCA;26.844244
-74.312206;4.563396231;CUNDINAMARCA;37.755602
-72.96701529;6.914209057;SANTANDER;31.389147
-73.99971528;6.647070086;SANTANDER;30.12158
-74.82918488;10.78503016;ATLANTICO;28.330202
-77.6447572;1.352938742;NARINIO;38.153769
-74.19598759;4.653131729;BOGOTA D. C.;31.161123
-74.27487244;8.947402764;BOLIVAR;26.981234
-73.52988515;10.06700712;CESAR;34.261148
-75.62774435;8.727672422;CORDOBA;31.266832
-74.87555784;10.08316417;ATLANTICO;27.822407
-75.25748922;9.578590773;SUCRE;30.903555
-73.10492094;6.98117035;SANTANDER;37.985666
-71.82239019;6.022415302;CASANARE;27.857199
-72.90102859;2.473647849;GUAVIARE;28.41253
-76.71965338;6.00815696;CHOCO;34.57849
-72.66153366;11.62847124;LA GUAJIRA;25.084707
-73.83009973;5.610036368;BOYACA;35.622297
-73.18838258;7.68068092;NORTE DE SANTANDER;33.607565
-74.80352947;9.318034258;BOLIVAR;30.183043
-73.34500947;8.346681526;CESAR;29.007055
-78.24821787;1.693068402;NARINIO;23.925844
-71.20117603;6.602166273;ARAUCA;26.31935
-78.60537806;1.318301612;NARINIO;26.808012
-71.72258447;11.81603791;LA GUAJIRA;30.532042
-74.93555177;10.46584479;ATLANTICO;29.15909
-75.90574985;9.35469422;CORDOBA;25.583284
-77.12903061;3.450758011;VALLE DEL CAUCA;25.648087
-77.44405255;3.262438466;CAUCA;26.660162
-75.66406877;9.100724297;CORDOBA;24.338108
-75.42581038;9.342989845;SUCRE;30.602709
-75.79437787;3.228604786;TOLIMA;34.005964
-72.27941322;1.573767268;GUAVIARE;41.109665
-71.77861564;3.36772389;META;38.500238
-73.06598547;7.791257883;NORTE DE SANTANDER;35.50949
-70.90050347;5.034724277;CASANARE;29.491259
-75.0231514;10.27710833;ATLANTICO;30.169453
-75.6857952;7.087273029;ANTIOQUIA;33.441404
-73.13693136;10.88005865;CESAR;30.15098
-75.1902409;4.411173197;TOLIMA;35.499695
-75.23598735;6.490530059;ANTIOQUIA;38.008581
-74.23085994;4.443890656;CUNDINAMARCA;33.593756
-72.91698381;11.36064749;LA GUAJIRA;27.535301
-75.52514101;6.742832704;ANTIOQUIA;36.112762
-73.88154675;5.015200861;CUNDINAMARCA;30.845201
-70.98433508;-0.856644275;AMAZONAS;33.213251
-76.94410963;5.340377059;CHOCO;32.592737
-75.41507626;7.869063587;ANTIOQUIA;31.738749
-69.81834425;1.019819033;VAUPES;37.78156
-76.71195191;4.640659395;CHOCO;25.948704
-76.50359455;2.976895864;CAUCA;30.160292
-73.64965646;3.991610897;META;30.613451
-76.38955012;8.729777651;CORDOBA;36.546492
-74.98495863;3.730254367;TOLIMA;31.957594
-76.90496889;5.861857777;CHOCO;33.198397
-75.88875794;5.743903737;ANTIOQUIA;34.884398
-75.9402469;6.274704142;ANTIOQUIA;36.007566
-75.39363364;4.464080209;TOLIMA;32.94967
-74.16335924;5.523590197;BOYACA;43.54653
-73.16874833;6.363436927;SANTANDER;27.796183
-73.30520207;4.619675584;CUNDINAMARCA;35.59979
-73.31851744;10.23228354;CESAR;28.363504
-75.61645142;3.738020586;TOLIMA;32.959723
-76.23534731;8.513166062;ANTIOQUIA;25.609804
-73.85436617;5.139266995;CUNDINAMARCA;32.528929
-75.08575971;10.75458852;ATLANTICO;35.501192
-70.99194282;-0.153053234;AMAZONAS;37.333145
-77.24848471;4.056648212;VALLE DEL CAUCA;30.438604
-71.7873064;11.87824909;LA GUAJIRA;29.721502
