DEPART;Latitude;Longitude;Elevation (m);Surface Temperature (C);Moho Depth (m);Magnetic Anomaly (nT);Fault;Strike-slip Fault;Reverse or Thrust Fault;Lineament;Right-lateral Fault;Normal Fault;Active Fault;Curie Depth (Km);Vertical Gravity Gradient (E);Free Air Anomaly (mGal);Bouguer Anomaly (mGal);Apparent Geothermal Gradient (C/Km)
MAGDALENA;9.918889;-74.133734;76.8096;27.815952;38180.80892;1.7798;26921.35365;20379.30448;14091.47069;134604.8731;34974.59525;302527.7896;29252.36905;24;-14.71875;-38.700012;-54.68896228;9.490416323
NORTE DE SANTANDER;7.831394;-72.611031;526.9992;25.565004;40605.81615;15.2177;2797.726624;66487.14572;7469.787028;192069.8985;1837.679035;185736.6801;2114.347398;34;-74.46875;-70.05002;-117.0911946;23.39525343
TOLIMA;3.524027;-74.829854;548.3352;25.458324;46615.02409;-4.7771;3089.667665;52236.46039;2917.976885;80275.21761;35436.28963;189988.5286;40574.47961;30;68.9375;44.72499;-161.7418972;19.20520167
HUILA;3.048417;-75.167933;168.5544;27.357228;44871.12503;-7.4923;9428.270894;19756.15887;6438.474649;19397.9;15966.05313;175767.6765;23619.06944;30;-33.25;-95.649994;-148.1434068;19.27383695
HUILA;3.052383;-75.169686;165.8112;27.370944;44878.77762;-7.4923;9272.264137;19872.84842;6735.717701;19500.32124;16324.77122;175453.211;23866.54399;30;-42.0625;-95.649994;-149.9387535;19.96149979
HUILA;2.083256;-75.745417;370.9416;26.345292;44409.27372;-10.2205;1655.669966;113693.3037;2872.358278;75179.56173;7045.937672;189253.0036;6691.169951;26;-158.34375;-55.850006;-218.1832399;20.27297505
TOLIMA;4.757755;-74.869731;251.46;26.9427;43754.63002;21.7421;5031.361312;52872.48744;12240.96821;45458.45164;30699.73147;159494.0468;7931.729619;30;-79.15625;-104.30002;-129.631221;18.04536828
HUILA;3.087994;-75.330806;445;25.975;45440.38444;-2.7063;2376.110221;37537.6703;7678.123129;15839.9333;33845.39507;157174.7638;9319.134631;30;-99.9375;-114.100006;-172.5933774;21.36271348
TOLIMA;4.624767;-74.868934;280.1112;26.799444;43475.52963;6.8331;2069.343069;51378.19738;9107.38931;58430.868;34454.42359;173021.818;9833.34125;30;-103.09375;-110.30002;-139.6267818;20.15650845
TOLIMA;4.620316;-74.86508;279.8064;26.800968;43426.01329;6.8331;2472.789598;50976.20098;8478.891862;59072.13838;34796.74921;173640.2924;10439.96138;30;-103.09375;-110.30002;-141.7241389;17.45353679
TOLIMA;4.61589;-74.869545;238.3536;27.008232;43458.91345;6.8331;3034.556911;51500.41121;8270.146359;58994.61293;34234.20269;173903.6077;10255.72517;30;-89.15625;-110.30002;-138.8548921;20.94178955
BOYACÁ;5.760086;-74.690311;159.4104;27.402948;38281.67103;8.9676;6519.719321;50266.24791;18799.16132;25068.44;14795.76287;92546.69933;8436.169455;30;-23.8125;-62.200012;-67.29138501;24.35257586
TOLIMA;3.602101;-74.882734;982.6752;23.286624;46372.00262;-17.2008;3153.808817;58907.37652;5331.20296;69883.36163;34271.97924;182206.9148;37565.67953;30;-18.84375;-21.975006;-133.6148787;41.30751961
CESAR;8.091122;-73.580497;85.0392;27.774804;37422.85215;23.8637;17487.32061;31967.62566;23679.5171;82908.5176;30749.0965;139004.6989;21416.45717;32;-56.46875;-79.45001;-88.82744966;32.40735943
CESAR;8.083908;-73.581719;84.1248;27.779376;37430.12872;23.8637;17405.82835;31664.06526;24488.66941;83188.58318;30911.53005;138210.0681;22225.17042;32;-56.46875;-79.45001;-88.82744966;20.55889434
CESAR;8.077933;-73.584653;86.5632;27.767184;37423.36938;23.8637;17574.00773;31610.20533;25195.86317;83243.36077;30866.64529;137477.8574;22937.81132;32;-34.34375;-79.45001;-94.19381493;21.54997051
